Trading Name,Trading Code,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
Atlas Copco AB,ATLKF,36.25,0,0.00%,829,81,43.869B,3.72
Atlas Copco AB,ATLCY,32.95,0,0.00%,250,2360,43.869B,N/A
Prudential plc,PUK,33.87,-0.11,-0.32%,319879,437869,43.778B,14.73
Atlas Copco AB,ATLKY,37.46,-0.17,-0.45%,198939,55858,43.671B,3.85
Henkel AG & Co. KGaA,HENOY,26.25,0.15,+0.57%,4312,11320,43.564B,3.88
Henkel AG & Co. KGaA,HENKY,24.36,0.11,+0.45%,12754,62858,43.564B,3.61
Henkel AG & Co. KGaA,HELKF,96.5,0,0.00%,355,121,43.564B,14.28
Brookfield Asset Management Inc.,BAMGF,11.63,0,0.00%,500,0,N/A,3.13
Orange S.A.,FNCTF,16.14,0.35,+2.22%,378,2086,43.327B,18.42
Nidec Corporation,NJDCY,36.84,0.2,+0.55%,26310,45986,43.217B,N/A
Compagnie Financiere Richemont SA,CFRUY,7.53,0.15,+2.01%,170872,393126,42.969B,14.61
Capital One Financial Corporation,COF-PG,25.26,-0.01,-0.04%,39925,45665,42.813B,2.24
Capital One Financial Corporation,COF-PP,25.34,0.02,+0.08%,20207,65461,42.859B,2.25
Public Joint Stock Company Mining and Metallurgical Company Norilsk Nickel,NILSY,27.08,-0.67,-2.43%,54034,63147,42.853B,9.99
Henkel AG & Co. KGaA,HENOF,104,0,0.00%,40,55,42.79B,15.39
Keurig Dr Pepper Inc.,KDP,30.37,0.35,+1.17%,2.291M,2.328M,42.724B,38.59
Orange S.A.,ORAN,16.31,-0.19,-1.15%,887659,393993,41.899B,18.62
Capital One Financial Corporation,COF-PH,26.29,0.02,+0.08%,24223,29740,42.637B,2.33
Capital One Financial Corporation,COF-PF,25.81,-0.04,-0.16%,22900,45794,42.582B,2.29
BB&T Corporation,BBT,55.01,0.4,+0.73%,3.059M,4.548M,42.154B,13.86
Compagnie Financiere Richemont SA,CFRHF,75.05,-0.2,-0.27%,655,4927,42.012B,14.57
Compass Group PLC,CMPGF,26.51,0.53,+2.04%,639,3541,41.91B,28.23
Marathon Petroleum Corporation,MPC,64.54,-0.15,-0.23%,3.223M,6.264M,41.907B,13.92
Daikin Industries Ltd.,DKILY,14.25,0.08,+0.56%,53310,127012,41.827B,22.92
Moody's Corporation,MCO,221.38,1.23,+0.56%,571948,753915,41.797B,32.44
The Bank of New York Mellon Corporation,BK-PC,25.79,-0.06,-0.23%,31864,46769,41.63B,6.71
Sempra Energy,SRE,147.63,1.5,+1.03%,1.516M,1.53M,41.616B,16.76
The Progressive Corporation,PGR,71.23,-1.67,-2.29%,3.795M,3.396M,41.643B,13.34
Valero Energy Corporation,VLO,101.06,0.45,+0.45%,2.52M,3.045M,41.501B,18.23
China Pacific Insurance (Group) Co.  Ltd.,CHPXY,15.44,0,0.00%,100,9,41.489B,N/A
China Pacific Insurance (Group) Co.  Ltd.,CHPXF,3.82,0,0.00%,1220,463,41.489B,13.89
EOG Resources  Inc.,EOG,71.26,-2.22,-3.02%,2.701M,4.13M,41.457B,13.84
Baxter International Inc.,BAX,81.12,-0.32,-0.39%,2.146M,2.858M,41.416B,27.15
Glencore plc,GLCNF,3.08,-0.062,-1.97%,3496,24476,41.376B,49.68
Glencore plc,GLNCY,6.13,-0.1,-1.61%,84056,173647,41.376B,49.44
Analog Devices  Inc.,ADI,111.97,-1.43,-1.26%,1.845M,2.07M,41.362B,28.42
Infosys Limited,INFY,9.86,0,0.00%,9.969M,15.996M,41.461B,19.33
Compass Group PLC,CMPGY,26.25,0.16,+0.61%,165017,169024,41.324B,27.96
Sysco Corporation,SYY,80.7,-0.91,-1.12%,3.086M,2.563M,41.175B,24.75
Dollar General Corporation,DG,159.98,-0.16,-0.10%,1.014M,1.678M,41.126B,25.72
FedEx Corporation,FDX,157.55,-0.78,-0.49%,1.704M,2.618M,41.106B,92.57
Hon Hai Precision Industry Co.  Ltd.,HNHPF,6.01,0.01,+0.20%,98820,112724,41.045B,N/A
Lam Research Corporation,LRCX,282.7,-0.98,-0.35%,1.366M,1.637M,41.014B,20.81
Ross Stores  Inc.,ROST,112.19,-1.17,-1.04%,1.801M,1.793M,41.008B,25.51
Japan Tobacco Inc.,JAPAF,22.79,0.18,+0.80%,2539,13921,40.891B,11.49
National Grid plc,NGGTF,11.64,0.21,+1.84%,581,1295,40.868B,9.04
Munchener Ruckversicherungs-Gesellschaft Aktiengesellschaft,MURGY,28.38,0.12,+0.42%,52880,50001,40.839B,14.14
National Grid plc,NGG,58.43,0.69,+1.20%,462042,580076,40.61B,9.07
Munchener Ruckversicherungs-Gesellschaft Aktiengesellschaft,MURGF,283.41,0,0.00%,133,121,40.869B,14.12
Koninklijke Philips N.V.,PHG,45.41,0.08,+0.18%,445372,562243,40.519B,28.74
Central Japan Railway Company,CJPRY,20.73,0.07,+0.35%,13951,30910,40.571B,10.66
Activision Blizzard  Inc.,ATVI,52.73,-0.71,-1.33%,6.001M,7.723M,40.51B,24.99
Dassault Systemes SE,DASTY,156.3,1.36,+0.88%,5824,18247,40.497B,61.06
Dassault Systemes SE,DASTF,156.5,5.35,+3.54%,600,238,40.497B,61.13
Baidu  Inc.,BIDU,116.52,-0.53,-0.45%,2.483M,4.118M,40.374B,9.08
Dell Technologies Inc.,DELL,55.57,-0.07,-0.13%,970137,2.191M,40.269B,17.7
Credit Agricole S.A.,CRARY,6.91,0.01,+0.14%,38380,167963,40.023B,10.12
Dow Inc.,DOW,54.32,-0.54,-0.98%,3.416M,4.034M,40.278B,21.89
Sun Hung Kai Properties Limited,SUHJY,13.95,0.13,+0.94%,80203,99846,40.121B,6.35
Mitsubishi Corporation,MSBHY,52.51,-0.03,-0.07%,6963,18032,40.036B,7.47
Aflac Incorporated,AFL,54.39,-0.01,-0.02%,2.798M,3.127M,39.923B,13.43
State Bank of India,SBKFF,42.02,0,0.00%,400,35,39.914B,N/A
Sempra Energy,SRE-PA,118.49,1.24,+1.06%,105303,86826,39.801B,13.46
Sempra Energy,SRE-PB,118.2,1.17,+1.00%,4103,13239,39.735B,13.42
Credit Agricole S.A.,CRARF,13.75,0.59,+4.48%,440,193,40.023B,10.07
Daiichi Sankyo Company  Limited,DSKYF,61,0,0.00%,255,2427,39.828B,62.76
Investor AB (publ),IVSBF,52.53,-0.27,-0.51%,477,361,39.618B,8.54
Banco Santander (Brasil) S.A.,BSBR,10.81,-0.19,-1.73%,755855,826380,39.777B,13.65
Hong Kong Exchanges and Clearing Limited,HKXCF,30.97,0.58,+1.91%,100,2170,39.523B,32.23
Daiichi Sankyo Company  Limited,DSNKY,61.34,-0.16,-0.26%,9383,10152,39.724B,63.11
Sands China Ltd.,SCHYF,4.95,0,0.00%,1350,933,39.397B,20.37
Hang Seng Bank Limited,HSNGY,20.48,0.21,+1.03%,13574,15912,39.294B,N/A
Mizuho Financial Group  Inc.,MFG,3.15,-0.01,-0.32%,166622,479015,39.785B,7.09
Japan Post Holdings Co.  Ltd.,JPHLF,9.4,0,0.00%,12800,923,39.27B,N/A
Sands China Ltd.,SCHYY,48.7,0.01,+0.02%,27052,45140,39.406B,20.04
Canadian Imperial Bank of Commerce,CM,87.34,0.15,+0.17%,256355,574424,38.868B,9.97
Jardine Strategic Holdings Limited,JSHLY,16.14,0.4,+2.54%,3534,15176,39.098B,7.18
Hong Kong Exchanges and Clearing Limited,HKXCY,31.12,0.22,+0.70%,47176,82520,39.053B,32.38
Telefonica  S.A.,TEF,7.44,-0.05,-0.67%,1.484M,1.721M,38.427B,11.7
Singapore Telecommunications Limited,SGAPY,23.58,0.26,+1.11%,24405,48110,38.582B,16.38
Singapore Telecommunications Limited,SNGNF,2.33,0,0.00%,2,3552,38.582B,16.18
Telefonica  S.A.,TEFOF,7.35,0,0.00%,407,21276,38.427B,N/A
Manulife Financial Corporation,MFC,19.64,-0.04,-0.21%,1.71M,1.545M,38.247B,21.37
Jardine Strategic Holdings Limited,JDSHF,31.59,0,0.00%,347,412,38.129B,7.02
ENGIE SA,ENGIY,15.81,-0.03,-0.19%,110590,172829,38.138B,32.53
Barclays PLC,BCLYF,2.1348,0.0048,+0.23%,97075,47216,38.069B,76.24
Barclays PLC,BCS,8.79,0.01,+0.11%,2.008M,3.473M,38.027B,78.48
AUDI AG,AUDVF,892.05,4.3,+0.48%,16,24,38.023B,8.54
ENGIE SA,ENGQF,15.6,-0.18,-1.14%,23392,11109,37.774B,32.1
Orsted A/S,DNNGY,30.19,0.36,+1.22%,4853,9680,37.965B,24.26
Tokio Marine Holdings  Inc.,TKOMY,54,-0.39,-0.72%,5516,17256,37.932B,16.62
The Kraft Heinz Company,KHC,31.01,-0.29,-0.93%,6.608M,7.459M,37.868B,N/A
CITIC Limited,CTPCF,1.2,0,0.00%,127427,7552,37.521B,6.49
CITIC Limited,CTPCY,6.47,0,0.00%,3635,629,37.521B,6.99
Eaton Corporation plc,ETN,90.73,-1.06,-1.15%,2.02M,2.177M,37.508B,16.13
Orsted A/S,DOGEF,89.96,-0.04,-0.04%,1928,1123,37.49B,24.07
Prudential Financial  Inc.,PRU,93.14,-0.51,-0.54%,2.068M,2.198M,37.442B,9.98
Shopify Inc.,SHOP,322.98,10.6,+3.39%,1.738M,2.522M,37.364B,N/A
BB&T Corporation,BBT-PF,25.36,0,-0.02%,24778,29238,37.335B,6.39
Workday  Inc.,WDAY,164,-1.98,-1.19%,3.385M,2.151M,37.392B,N/A
Regeneron Pharmaceuticals  Inc.,REGN,340.19,-4.68,-1.36%,536596,720318,37.352B,18.2
BB&T Corporation,BBT-PG,25.28,-0.07,-0.30%,18618,28082,37.321B,6.37
Fanuc Corporation,FANUF,193.05,0,0.00%,179,715,37.339B,23.16
Fanuc Corporation,FANUY,19.34,-0.02,-0.10%,180932,208656,37.301B,23.21
Public Storage,PSA,213.54,0.33,+0.15%,703820,964481,37.301B,25.24
Kao Corporation,KAOOY,15.52,-0.02,-0.16%,60317,189756,37.15B,27.95
NetEase  Inc.,NTES,290.24,-0.99,-0.34%,322078,656532,37.139B,43.52
Ecopetrol S.A.,EC,18.03,-0.34,-1.85%,470502,545795,37.067B,8.43
BB&T Corporation,BBT-PH,26.03,-0.19,-0.74%,25785,32783,36.963B,6.56
Delta Air Lines  Inc.,DAL,57.08,0.23,+0.40%,3.427M,5.96M,36.916B,8.07
China Minsheng Banking Corp.  Ltd.,CGMBF,0.72,0,0.00%,1041,7808,36.64B,N/A
Hitachi  Ltd.,HTHIY,75.62,-0.64,-0.84%,20410,48536,36.573B,10.17
Murata Manufacturing Co.  Ltd.,MRAAY,14.23,0.01,+0.04%,84120,253509,36.548B,8.18
Murata Manufacturing Co.  Ltd.,MRAAF,56.35,0,0.00%,10,4990,36.548B,8.1
China Overseas Land & Investment Limited,CAOVF,3.23,0,0.00%,100,3378,36.534B,6.57
China Overseas Land & Investment Limited,CAOVY,16.5,0.23,+1.40%,4123,5401,36.534B,6.71
Airports of Thailand Public Company Limited,AIPUY,25.84,-1.16,-4.30%,559,401,36.163B,487.55
The Allstate Corporation,ALL,111.51,0.41,+0.37%,1.078M,1.538M,36.124B,15.23
Anglo American plc,AAUKF,26.03,0,0.00%,4681,1070,36.082B,8.13
BOC Hong Kong (Holdings) Limited,BHKLY,68.05,0.49,+0.73%,22688,15015,36.041B,9.07
Anglo American plc,NGLOY,13.28,-0.04,-0.30%,83776,397956,35.974B,8.3
BOC Hong Kong (Holdings) Limited,BNKHF,3.35,0,0.00%,500,2252,35.78B,8.93
Alimentation Couche-Tard Inc.,ANCTF,31.51,0.51,+1.65%,214,66,35.755B,18.59
Alimentation Couche-Tard Inc.,ANCUF,31.62,0.5,+1.60%,2210,9621,35.738B,18.65
PT Bank Rakyat Indonesia (Persero) Tbk,BKRKY,14.62,0.07,+0.51%,6326,25112,35.675B,16.24
Autodesk  Inc.,ADSK,162.44,0.69,+0.43%,152,1.96M,35.67B,627.18
DENSO Corporation,DNZOY,22.9,-0.12,-0.54%,11783,11098,35.577B,14.03
DENSO Corporation,DNZOF,45.69,0,0.00%,106,92,35.576B,14
Roper Technologies  Inc.,ROP,341.64,-4,-1.16%,451262,520475,35.55B,31.02
The Royal Bank of Scotland Group plc,RBS,5.83,0.04,+0.69%,1.211M,1.59M,35.245B,35.12
Thomson Reuters Corporation,TRI,71.05,0.63,+0.89%,317664,392681,35.471B,11.04
PT Bank Rakyat Indonesia (Persero) Tbk,BKRKF,0.271,0,0.00%,14300,55549,35.494B,15.06
Ford Motor Company,F,8.95,0,0.00%,37.242M,34.556M,35.486B,22.38
Fresenius SE & Co. KGaA,FSNUY,13.37,0.07,+0.50%,21685,37686,35.434B,12.66
Fresenius SE & Co. KGaA,FSNUF,52.78,0,0.00%,30,386,35.434B,12.5
Oversea-Chinese Banking Corporation Limited,OVCHY,16.58,0.21,+1.31%,6790,19433,35.261B,10.16
CK Hutchison Holdings Limited,CKHUF,9.25,0.08,+0.87%,200,3026,35.245B,7.53
CK Hutchison Holdings Limited,CKHUY,9.08,0.05,+0.55%,727932,236595,35.133B,7.39
Occidental Petroleum Corporation,OXY,39.3,0.35,+0.90%,12.469M,9.038M,35.107B,27.68
Fomento Economico Mexicano  S.A.B. de C.V.,FMXUF,9.15,0.05,+0.55%,1000,11744,35.079B,40.13
The Royal Bank of Scotland Group plc,RBSPF,2.885,0.063,+2.23%,123,1870,35.784B,34.76
Banco Bilbao Vizcaya Argentaria  S.A.,BBVA,5.25,-0.04,-0.76%,2.251M,3.383M,34.766B,7.31
Cognizant Technology Solutions Corporation,CTSH,63.88,0.25,+0.39%,24281,2.897M,34.979B,17.27
V.F. Corporation,VFC,87.24,0.36,+0.41%,1.621M,1.87M,34.841B,27.1
Oversea-Chinese Banking Corporation Limited,OVCHF,8.09,-0.02,-0.31%,333,753,34.699B,N/A
East Japan Railway Company,EJPRY,15.33,0.05,+0.33%,73524,51406,34.7B,13.41
The Travelers Companies  Inc.,TRV,134.29,0.72,+0.54%,1.13M,1.263M,34.662B,15.09
The Allstate Corporation,ALL-PH,25.84,0.02,+0.07%,138762,340404,34.664B,3.53
Welltower Inc.,WELL,84.82,0.83,+0.99%,1.608M,1.997M,34.42B,30.31
The Allstate Corporation,ALL-PG,26.63,-0.11,-0.41%,32215,39546,34.202B,3.64
Amadeus IT Group  S.A.,AMADF,79.02,0,0.00%,700,349,34.188B,27.57
Amadeus IT Group  S.A.,AMADY,79.67,-0.07,-0.09%,28491,28832,34.158B,27.8
O'Reilly Automotive  Inc.,ORLY,449.89,4.66,+1.05%,212,474569,34.038B,25.94
HOYA Corporation,HOCPY,89.9,1.26,+1.42%,13642,22289,34.037B,35.28
MTR Corporation Limited,MTRJF,5.67,0.01,+0.14%,750,1363,34.025B,N/A
MTR Corporation Limited,MTCPY,16.4,-0.03,-0.17%,4437,1584,34.025B,15.66
China Tower Corporation Limited,CHWRF,0.23,-0.0037,-1.58%,31955,87359,36.653B,N/A
The Allstate Corporation,ALL-PB,26.35,0.02,+0.08%,21185,181776,33.908B,3.6
Seven & i Holdings Co.  Ltd.,SVNDY,19.09,-0.49,-2.52%,24137,35113,33.872B,19.78
Constellation Brands  Inc.,STZ,174.89,-4.76,-2.65%,2.342M,1.095M,33.614B,43.8
United Overseas Bank Limited,UOVEY,39.42,0.16,+0.41%,17723,28138,33B,11.67
Canadian Pacific Railway Limited,CP,243.83,1.97,+0.81%,438856,417410,33.392B,19.57
Canadian Natural Resources Limited,CNQ,28.21,0.19,+0.68%,2.086M,2.385M,33.315B,12.22
Constellation Brands  Inc.,STZ-B,175,-9,-4.89%,645,284,32.84B,43.83
Tokyo Electron Limited,TOELY,53.36,0.28,+0.53%,12350,39187,33.656B,15.55
Woolworths Group Limited,WOLWF,26.15,0,0.00%,69,453,33.285B,26.76
The Allstate Corporation,ALL-PA,25.5,-0.01,-0.04%,30382,20332,33.27B,3.48
The Hong Kong and China Gas Company Limited,HOKCF,1.93,0.06,+3.21%,20000,2406,33.238B,27.18
ITOCHU Corporation,ITOCY,44.33,0.18,+0.41%,4053,12743,33.2B,9.1
Tokyo Electron Limited,TOELF,211.48,0,0.00%,4,383,33.656B,15.41
ITOCHU Corporation,ITOCF,22.02,0.07,+0.30%,100,703,33.2B,9.04
Johnson Controls International plc,JCI,42.53,0.14,+0.33%,2.791M,4.821M,33.071B,6.55
Assicurazioni Generali S.p.A.,ARZGY,10.61,-0.03,-0.28%,296,606,33.047B,13.06
Tyson Foods  Inc.,TSN,89.98,-0.35,-0.39%,1.653M,2.579M,32.86B,16.3
Anhui Conch Cement Company Limited,AHCHY,30.47,0.14,+0.46%,2600,15041,32.815B,7.95
Anhui Conch Cement Company Limited,AHCHF,6.12,0,0.00%,70,647,32.815B,7.98
Wesfarmers Limited,WFAFY,14.35,0.06,+0.42%,10094,24509,32.657B,36.73
Vivendi SA,VIVHY,27.5,0.16,+0.60%,62372,52524,32.614B,25.19
Vivendi SA,VIVEF,27.39,0.19,+0.70%,2940,843,32.614B,25.08
KONE Oyj,KNYJY,31.51,-0.25,-0.77%,5497,11015,32.603B,N/A
KONE Oyj,KNYJF,62.89,0.24,+0.38%,2203,3075,32.603B,32.72
Hang Seng Bank Limited,HSNGF,20.7,-4.05,-16.36%,200,495,32.529B,13.81
NXP Semiconductors N.V.,NXPI,115.92,-1.56,-1.33%,2.17M,2.848M,32.403B,82.8
Equity Residential,EQR,86.99,0.53,+0.61%,888779,1.52M,32.304B,40.71
Credit Suisse Group AG,CSGKF,13.01,0.04,+0.28%,29387,96160,32.232B,N/A
Credit Suisse Group AG,CS,13.01,-0.01,-0.08%,1.039M,2.405M,32.232B,N/A
The Hong Kong and China Gas Company Limited,HOKCY,1.898,-0.002,-0.11%,113576,163393,32.171B,26.73
China Telecom Corporation Limited,CHJHF,0.42,0,0.00%,295,232,32.157B,12
General Mills  Inc.,GIS,52.89,0.33,+0.63%,1.944M,3.333M,31.966B,17.06
Xcel Energy Inc.,XEL,60.88,0.01,+0.02%,3.341M,3.366M,31.925B,24.32
China Telecom Corporation Limited,CHA,39.5,0.28,+0.71%,69926,45890,32.157B,11.29
Carnival Corporation & Plc,CCL,44.7,-0.15,-0.33%,2.135M,4.139M,31.851B,10.13
Astellas Pharma Inc.,ALPMY,16.82,0.23,+1.36%,19346,66292,31.829B,19.7
H & M Hennes & Mauritz AB (publ),HMRZF,19.12,0,0.00%,50,810,31.801B,21.46
H & M Hennes & Mauritz AB (publ),HNNMY,3.806,0.021,+0.55%,46641,53029,31.801B,21.36
Monster Beverage Corporation,MNST,59.03,0.39,+0.67%,120,2.812M,31.739B,29.68
China Evergrande Group,EGRNY,60.98,0,0.00%,1,47,31.585B,N/A
LyondellBasell Industries N.V.,LYB,94.92,-1.08,-1.13%,1.416M,2.439M,31.647B,10.03
Standard Chartered PLC,SCBFF,9.12,0.06,+0.72%,526,3204,28.806B,50.11
SunTrust Banks  Inc.,STI,71.04,0.46,+0.65%,824837,2.279M,31.545B,13.01
AB Volvo (publ),VLVLY,15.5,-0.27,-1.71%,7541,26084,31.495B,10.17
AB Volvo (publ),VOLVF,15.4,-0.3,-1.91%,663,892,31.495B,10.1
A.P. Moller - Marsk A/S,AMKAF,1364,169,+14.14%,4,13,31.437B,504.62
Electricite de France S.A.,ECIFY,2.01,0.025,+1.26%,99702,107464,31.412B,11.18
Astellas Pharma Inc.,ALPMF,16.26,0,0.00%,1500,410,31.402B,19.04
London Stock Exchange Group plc,LNSTY,22.52,0.37,+1.68%,121332,123738,31.331B,40.16
Ingersoll-Rand Plc,IR,130.32,1.62,+1.26%,1.254M,1.218M,31.224B,23.43
Newmont Goldcorp Corporation,NEM,38.06,0.45,+1.20%,4.356M,6.493M,31.203B,11.28
